{'tip': '小贴士：“显示”：“示”字旁即“礻”，“上海”简称“申”，合为“神”，“连日”扣“田”，加上“雨”为“雷”字，合为“雷神”。', 'mystery': '谜面：显示上海连日有雨 （打一电影名）', 'answer': '谜底：雷神'}
{'tip': '', 'mystery': '谜面：人有反复 （中国电影）', 'answer': '谜底：丫丫'}
{'tip': '', 'mystery': '谜面：失去爸爸受虐待 （中国电影）', 'answer': '谜底：少爷的磨难'}
{'tip': '', 'mystery': '谜面：十八斤 （中国电影）', 'answer': '谜底：剖析'}
{'tip': '', 'mystery': '谜面：木兰 （四字电影）', 'answer': '谜底：东方之花'}
{'tip': '', 'mystery': '谜面：人日 （中国电影）', 'answer': '谜底：一月的七天'}
{'tip': '', 'mystery': '谜面：寺影中流见 （中国电影）', 'answer': '谜底：水上人家'}
{'tip': '', 'mystery': '谜面：女子排球 （五字电影）', 'answer': '谜底：男人的世界'}
{'tip': '', 'mystery': '谜面：深化改革 （二字电影）', 'answer': '谜底：精变'}
{'tip': '', 'mystery': '谜面：苏联解体 （四字电影）', 'answer': '谜底：梦醒时分'}
{'tip': '', 'mystery': '谜面：上马尤显别样俊 （外国电影）', 'answer': '谜底：优俊'}
{'tip': '', 'mystery': '谜面：潘安转世宋玉再生 （外国电影二）', 'answer': '谜底：人世间，英俊少年'}
{'tip': '', 'mystery': '谜面：台风 （二字电影）', 'answer': '谜底：大虎'}
{'tip': '', 'mystery': '谜面：全军覆没 （中国电影）', 'answer': '谜底：北大荒人'}
{'tip': '', 'mystery': '谜面：四十八盘将奈何 （外国电影）', 'answer': '谜底：苦行者'}
{'tip': '', 'mystery': '谜面：秋色满郊野 （三字电影）', 'answer': '谜底：黄土地'}
{'tip': '', 'mystery': '谜面：皮夹 （四字电影）', 'answer': '谜底：绿色钱包'}
{'tip': '', 'mystery': '谜面：扇市兴旺 （五字电影）', 'answer': '谜底：何处不风流'}
{'tip': '', 'mystery': '谜面：马上到海南 （中国电影）', 'answer': '谜底：蛇岛'}
{'tip': '', 'mystery': '谜面：入赘 （七字电影）', 'answer': '谜底：嫁不出去的姑娘'}
{'tip': '', 'mystery': '谜面：盲人聚会 （打一冯小刚电影）', 'answer': '谜底：不见不散'}
{'tip': '', 'mystery': '谜面：生当做人杰 （三字电影）', 'answer': '谜底：鬼丈夫'}
{'tip': '', 'mystery': '谜面：末了是你 （电影名）', 'answer': '谜底：最后八个人'}
{'tip': '', 'mystery': '谜面：亲者痛 （外国电影）', 'answer': '谜底：欢喜冤家'}
{'tip': '', 'mystery': '谜面：群芳谱 （四字电影）', 'answer': '谜底：美的旋律'}
{'tip': '', 'mystery': '谜面：少长咸集，觥筹交错。 （中国电影）', 'answer': '谜底：小燕和大燕'}
{'tip': '', 'mystery': '谜面：人伴残花叶纷飞 （二字中国电影）', 'answer': '谜底：哗变'}
{'tip': '', 'mystery': '谜面：少生为妙，一子为好。 （中国电影）', 'answer': '谜底：两个孤女'}
{'tip': '', 'mystery': '谜面：日杂店拆迁，分店再向前。 （中国电影）', 'answer': '谜底：九香'}
{'tip': '', 'mystery': '谜面：小儿王 （四字电影）', 'answer': '谜底：少年天子'}
{'tip': '', 'mystery': '谜面：人间地狱 （外国电影）', 'answer': '谜底：悲惨世界'}
{'tip': '', 'mystery': '谜面：千金被窃 （中国电影）', 'answer': '谜底：少女与小偷'}
{'tip': '', 'mystery': '谜面：九嶷叠翠 （四字电影）', 'answer': '谜底：竹山青青'}
{'tip': '', 'mystery': '谜面：恳切一点 （外国电影）', 'answer': '谜底：良心'}
{'tip': '', 'mystery': '谜面：红颜薄命 （外国电影）', 'answer': '谜底：英俊少年'}
{'tip': '', 'mystery': '谜面：先驱者 （外国电影）', 'answer': '谜底：超人'}
{'tip': '', 'mystery': '谜面：日暮杜鹃起啼声 （中国电影）', 'answer': '谜底：滴血黄昏'}
{'tip': '', 'mystery': '谜面：闲行独自语 （外国电影）', 'answer': '谜底：云中漫步'}
{'tip': '', 'mystery': '谜面：乡史 （五字电影）', 'answer': '谜底：村里的故事'}
{'tip': '', 'mystery': '谜面：相顾无言 （二字电影）', 'answer': '谜底：绝响'}
{'tip': '', 'mystery': '谜面：家长 （四字电影）', 'answer': '谜底：庭院深深'}
{'tip': '', 'mystery': '谜面：谈笑凯歌还 （四字电影）', 'answer': '谜底：欢乐英雄'}
{'tip': '', 'mystery': '谜面：间谍经费大超支 （外国电影）', 'answer': '谜底：特工狂花'}
{'tip': '', 'mystery': '谜面：相逢二度在霜天 （外国电影）', 'answer': '谜底：雨人'}
{'tip': '', 'mystery': '谜面：颦卿意夕怀先考 （二字电影）', 'answer': '谜底：梦境'}
{'tip': '', 'mystery': '谜面：相会唯有七月七 （外国电影）', 'answer': '谜底：纯属巧合'}
{'tip': '', 'mystery': '谜面：小的不说 （中国电影）', 'answer': '谜底：皆大欢喜'}
{'tip': '', 'mystery': '谜面：旭日临门早 （中国电影）', 'answer': '谜底：天才发明家'}
{'tip': '', 'mystery': '谜面：旭日升空映竹间 （中国电影）', 'answer': '谜底：一个和八个'}
{'tip': '', 'mystery': '谜面：血染青纱帐 （三字电影）', 'answer': '谜底：红高梁'}
{'tip': '', 'mystery': '谜面：巡天遥看一千河·双钩格 （四字电影）', 'answer': '谜底：星星欲晓'}
{'tip': '', 'mystery': '谜面：眼儿媚 （四字电影）', 'answer': '谜底：如此多情'}
{'tip': '', 'mystery': '谜面：突 （二字电影）', 'answer': '谜底：狗洞'}
{'tip': '', 'mystery': '谜面：兔 （四字电影）', 'answer': '谜底：龙兄虎弟'}
{'tip': '', 'mystery': '谜面：吻 （中国电影）', 'answer': '谜底：亲人'}
{'tip': '', 'mystery': '谜面：刑场上的婚礼 （电影名）', 'answer': '谜底：最后的感情'}
{'tip': '', 'mystery': '谜面：行者出家 （二字电影）', 'answer': '谜底：武僧'}
{'tip': '', 'mystery': '谜面：幸子认理惠 （三字电影）', 'answer': '谜底：明姑娘'}
{'tip': '', 'mystery': '谜面：休 （三字电影）', 'answer': '谜底：伐木人'}
{'tip': '', 'mystery': '谜面：休设分销店 （中国电影）', 'answer': '谜底：死亡集中营'}
{'tip': '', 'mystery': '谜面：阳光充足 （四字电影）', 'answer': '谜底：步入辉煌'}
{'tip': '', 'mystery': '谜面：洋诗 （三字电影）', 'answer': '谜底：大海风'}
{'tip': '', 'mystery': '谜面：平时不注意 （中国电影）', 'answer': '谜底：特殊警察'}
{'tip': '', 'mystery': '谜面：千夫所指 （中国电影）', 'answer': '谜底：公证之死'}
{'tip': '', 'mystery': '谜面：下香阶懒步苍苔 （电影名二）', 'answer': '谜底：脚印，绿色的土地'}
{'tip': '', 'mystery': '谜面：请主人留步 （三字电影）', 'answer': '谜底：独行客'}
{'tip': '', 'mystery': '谜面：秋后的费用 （三字电影）', 'answer': '谜底：冬之花'}
{'tip': '', 'mystery': '谜面：雀栖枝头伴寒山 （中国电影）', 'answer': '谜底：少林寺'}
{'tip': '', 'mystery': '谜面：男理发师 （七字电影）', 'answer': '谜底：战争让女人连开'}
{'tip': '', 'mystery': '谜面：七人 （中国电影）', 'answer': '谜底：一个和八个'}
{'tip': '', 'mystery': '谜面：夕阳之恋 （外国电影）', 'answer': '谜底：昏迷'}
{'tip': '', 'mystery': '谜面：问女何所思 （中国电影）', 'answer': '谜底：你在想什么'}
{'tip': '', 'mystery': '谜面：七星聚会 （电影带量）', 'answer': '谜底：北斗上下集'}
{'tip': '', 'mystery': '谜面：妻子临盆丈夫忙 （电影名二）', 'answer': '谜底：正是为了爱，人生'}
{'tip': '', 'mystery': '谜面：千岩泉洒落 （电影名三）', 'answer': '谜底：石林，雨，水'}
{'tip': '', 'mystery': '谜面：千载难逢 （中国电影）', 'answer': '谜底：非常岁月'}
{'tip': '', 'mystery': '谜面：其言也善 （五字电影）', 'answer': '谜底：有话好好说'}
{'tip': '', 'mystery': '谜面：气象预报 （四字电影）', 'answer': '谜底：风云初记'}
{'tip': '', 'mystery': '谜面：抢亲 （四字电影）', 'answer': '谜底：爱的劫夺'}
{'tip': '', 'mystery': '谜面：任意之 （五字电影）', 'answer': '谜底：无使命行动'}
{'tip': '', 'mystery': '谜面：阮氏三雄 （三字电影）', 'answer': '谜底：小字辈'}
{'tip': '', 'mystery': '谜面：三十六宫土花碧·卷帘格 （电影名二）', 'answer': '谜底：苔丝，长生殿'}
{'tip': '', 'mystery': '谜面：山在虚无缥缈间 （电影名二）', 'answer': '谜底：岳云，雾都茫茫'}
{'tip': '', 'mystery': '谜面：生旦净丑均能演 （五字电影）', 'answer': '谜底：都会的一角'}
{'tip': '', 'mystery': '谜面：胜利重逢泪如雨 （外国电影）', 'answer': '谜底：W的悲剧'}
{'tip': '', 'mystery': '谜面：人人都是人侍候 （中国电影）', 'answer': '谜底：一仆二主'}
{'tip': '', 'mystery': '谜面：人生短暂宜珍惜 （四字电影）', 'answer': '谜底：现世活宝'}
{'tip': '', 'mystery': '谜面：塞外蹄声 （中国电影）', 'answer': '谜底：西域响马'}
{'tip': '', 'mystery': '谜面：上士集合 （中国电影）', 'answer': '谜底：相会'}
{'tip': '', 'mystery': '谜面：烧之经久不熟 （五字电影）', 'answer': '谜底：烈火中永生'}
{'tip': '', 'mystery': '谜面：诗魂 （四字电影）', 'answer': '谜底：风流千古'}
{'tip': '', 'mystery': '谜面：下里巴人 （五字电影）', 'answer': '谜底：街市流行曲'}
{'tip': '', 'mystery': '谜面：下一代 （电影名）', 'answer': '谜底：自然之子'}
{'tip': '', 'mystery': '谜面：欣喜奇男已丈夫 （电影名二）', 'answer': '谜底：快乐的单身汉，结婚'}
{'tip': '', 'mystery': '谜面：兴趣广泛 （五字电影）', 'answer': '谜底：不一样的爱'}
{'tip': '', 'mystery': '谜面：休兵何太迟 （中国电影）', 'answer': '谜底：停战以后'}
{'tip': '', 'mystery': '谜面：虚有其表 （二字电影）', 'answer': '谜底：假脸'}
{'tip': '', 'mystery': '谜面：燕尾 （四字电影）', 'answer': '谜底：点点滴滴'}
{'tip': '', 'mystery': '谜面：养蜂专家 （五字电影）', 'answer': '谜底：甜蜜的事业'}
{'tip': '', 'mystery': '谜面：爷娘妻子走相送 （中国电影）', 'answer': '谜底：男儿要远行'}
{'tip': '', 'mystery': '谜面：叶脉 （中国电影）', 'answer': '谜底：绿色的网'}
{'tip': '', 'mystery': '谜面：夜市 （四字电影）', 'answer': '谜底：黑色交易'}
{'tip': '', 'mystery': '谜面：夜晚暗较量 （三字电影）', 'answer': '谜底：黑三角'}
{'tip': '', 'mystery': '谜面：一朝飘泊难寻觅 （外国电影二）', 'answer': '谜底：流浪者，没有留下地址'}
{'tip': '', 'mystery': '谜面：一对翡翠琵琶 （中国电影）', 'answer': '谜底：双玉鱼'}
{'tip': '', 'mystery': '谜面：一对佳人 （中国电影）', 'answer': '谜底：三全其美'}
{'tip': '', 'mystery': '谜面：一封书到便兴师 （中国电影）', 'answer': '谜底：生命之旅'}
{'tip': '', 'mystery': '谜面：龙的传人·摘匾格 （外国电影）', 'answer': '谜底：晨星'}
{'tip': '', 'mystery': '谜面：旅社何所营 （二字电影）', 'answer': '谜底：归宿'}
{'tip': '', 'mystery': '谜面：略施小计 （三字电影）', 'answer': '谜底：大圈套'}
{'tip': '', 'mystery': '谜面：落日余晖 （五字电影）', 'answer': '谜底：最后的太阳'}
{'tip': '', 'mystery': '谜面：老庄办商行 （中国电影）', 'answer': '谜底：二子开店'}
{'tip': '', 'mystery': '谜面：立碑记载丰收年 （纪录片）', 'answer': '谜底：大足石刻'}
{'tip': '', 'mystery': '谜面：明知山有虎，偏向虎山行 （打一中国电影）', 'answer': '谜底：危险之至'}
{'tip': '', 'mystery': '谜面：魔术招法百十种 （香港电影）', 'answer': '谜底：千机变'}
{'tip': '', 'mystery': '谜面：弄潮 （四字电影）', 'answer': '谜底：小巷名流'}
{'tip': '', 'mystery': '谜面：奴为绛珠曾卷帘 （中国电影）', 'answer': '谜底：草原女儿'}
{'tip': '', 'mystery': '谜面：正做引产手术 （电视剧名）', 'answer': '谜底：她在人流中'}
{'tip': '', 'mystery': '谜面：扪虱倾谈惊四座 （电视栏目）', 'answer': '谜底：一周要闻'}
{'tip': '', 'mystery': '谜面：强拉赞助心孰安 （电视栏目）', 'answer': '谜底：人与自然'}
{'tip': '', 'mystery': '谜面：三弄笛声初到枕 （电视栏目）', 'answer': '谜底：重播晚间新闻'}
{'tip': '', 'mystery': '谜面：台湾大陆共演奏 （电视栏目）', 'answer': '谜底：海峡同乐'}
{'tip': '', 'mystery': '谜面：只盼深山出太阳 （电视栏目）', 'answer': '谜底：希望之光'}
{'tip': '', 'mystery': '谜面：挚 （电视剧名）', 'answer': '谜底：牵手'}
{'tip': '', 'mystery': '谜面：埃及开罗 （电视剧名）', 'answer': '谜底：灰网'}
{'tip': '', 'mystery': '谜面：安乐 （电视剧名）', 'answer': '谜底：喜从何来'}
{'tip': '', 'mystery': '谜面：八十抒怀 （电视剧名）', 'answer': '谜底：白头吟'}
{'tip': '', 'mystery': '谜面：包打听 （外国电视剧）', 'answer': '谜底：老干探'}
{'tip': '', 'mystery': '谜面：雷达 （四字电影）', 'answer': '谜底：霹雳行动'}
{'tip': '', 'mystery': '谜面：马上获奖 （五字电影）', 'answer': '谜底：骑士的荣誉'}
{'tip': '', 'mystery': '谜面：马嵬怀古 （四字电影）', 'answer': '谜底：真没想到'}
{'tip': '', 'mystery': '谜面：眉眼传心事 （三字电影）', 'answer': '谜底：山水情'}
{'tip': '', 'mystery': '谜面：某甲 （三字电影）', 'answer': '谜底：当代人'}
{'tip': '', 'mystery': '谜面：女英烈传 （中国电影）', 'answer': '谜底：群芳谱'}
{'tip': '', 'mystery': '谜面：偏爱铁杵制成针 （四字电影）', 'answer': '谜底：好事多磨'}
{'tip': '', 'mystery': '谜面：千里冰霜脚下踩 （外国电影）', 'answer': '谜底：雪地英雄'}
{'tip': '', 'mystery': '谜面：切齿之恨 （外国电影）', 'answer': '谜底：复仇的牙'}
{'tip': '', 'mystery': '谜面：琴瑟和鸣 （二字电影）', 'answer': '谜底：情韵'}
{'tip': '', 'mystery': '谜面：年终盘存 （四字电影）', 'answer': '谜底：死期临近'}
{'tip': '', 'mystery': '谜面：聂耳 （中国电影）', 'answer': '谜底：李双双'}
{'tip': '', 'mystery': '谜面：千门桃与李 （中国电影）', 'answer': '谜底：万家春'}
{'tip': '', 'mystery': '谜面：人才难得 （中国电影）', 'answer': '谜底：罗杰的困惑'}
{'tip': '', 'mystery': '谜面：人到暮年知情重 （中国电影）', 'answer': '谜底：晚钟'}
{'tip': '', 'mystery': '谜面：人过横川日正下，浑波逐流夕阳西 （中国电影）', 'answer': '谜底：春晖'}
{'tip': '', 'mystery': '谜面：日暮起相思 （二字电影）', 'answer': '谜底：晚钟'}
{'tip': '', 'mystery': '谜面：入云龙 （五字电视剧名）', 'answer': '谜底：夏天的经历'}
{'tip': '', 'mystery': '谜面：三迁教子 （电影名二）', 'answer': '谜底：母亲，禁止的游戏'}
{'tip': '', 'mystery': '谜面：三月残花落更开 （中国电影）', 'answer': '谜底：第二春'}
{'tip': '', 'mystery': '谜面：三月颂 （二字电影）', 'answer': '谜底：春歌'}
{'tip': '', 'mystery': '谜面：杀人亦有限 （电影名二）', 'answer': '谜底：亡命者，希卡'}
{'tip': '', 'mystery': '谜面：漆黑一团 （四字电影）', 'answer': '谜底：不见不散'}
{'tip': '', 'mystery': '谜面：千倾湖波映孤帆 （电影名三）', 'answer': '谜底：一叶小舟，水，路漫漫'}
{'tip': '', 'mystery': '谜面：日暮乡关小舟隐 （外国电影）', 'answer': '谜底：暗里藏刀'}
{'tip': '', 'mystery': '谜面：容易 （二字电影）', 'answer': '谜底：变脸'}
{'tip': '', 'mystery': '谜面：三人游春 （中国电影）', 'answer': '谜底：日出'}
{'tip': '', 'mystery': '谜面：三十年华 （三字电影）', 'answer': '谜底：人世间'}
{'tip': '', 'mystery': '谜面：三五在东 （电影名）', 'answer': '谜底：月满西楼'}
{'tip': '', 'mystery': '谜面：三月三十日 （二字电影）', 'answer': '谜底：春草'}
{'tip': '', 'mystery': '谜面：山姆大叔 （中国电影）', 'answer': '谜底：美的呼唤'}
{'tip': '', 'mystery': '谜面：闪闪航标 （二字电影）', 'answer': '谜底：向导'}
{'tip': '', 'mystery': '谜面：善哭其夫 （五字电影）', 'answer': '谜底：男人的眼泪'}
{'tip': '', 'mystery': '谜面：生关死劫谁能躲 （电影名二）', 'answer': '谜底：阴阳界，避难'}
{'tip': '', 'mystery': '谜面：生命的火花 （二字电影）', 'answer': '谜底：活着'}
{'tip': '', 'mystery': '谜面：人面桃花·秋千格 （二字电影）', 'answer': '谜底：红象'}
{'tip': '', 'mystery': '谜面：人若犯我我必犯人 （电影名二）', 'answer': '谜底：武当，打击侵略者'}
{'tip': '', 'mystery': '谜面：三岔口重逢 （中国电影）', 'answer': '谜底：丫丫'}
{'tip': '', 'mystery': '谜面：三个值日生 （中国电影）', 'answer': '谜底：星星星'}
{'tip': '', 'mystery': '谜面：上堂怒题饭后钟 （中国电影）', 'answer': '谜底：播火记'}
{'tip': '', 'mystery': '谜面：少女痛哭明前非 （中国电影）', 'answer': '谜底：泪洒姑苏'}
{'tip': '', 'mystery': '谜面：深心托毫素 （中国电影）', 'answer': '谜底：笔中情'}
{'tip': '', 'mystery': '谜面：十八寡妇征西 （电影名二）', 'answer': '谜底：杨门女将，复仇'}
{'tip': '', 'mystery': '谜面：十八勇士·燕尾格 （二字电影）', 'answer': '谜底：复仇'}
{'tip': '', 'mystery': '谜面：视觉中心 （二字电影）', 'answer': '谜底：如意'}
{'tip': '', 'mystery': '谜面：逝者如斯夫 （四字电影）', 'answer': '谜底：似水流年'}
{'tip': '', 'mystery': '谜面：双勾摩帖心犹细 （外国电影）', 'answer': '谜底：临时特工'}
{'tip': '', 'mystery': '谜面：说走咱就走 （四字电影）', 'answer': '谜底：总统行动'}
{'tip': '', 'mystery': '谜面：生不逢时 （四字电影）', 'answer': '谜底：死期临近'}
{'tip': '', 'mystery': '谜面：生当为人杰 （中国电影）', 'answer': '谜底：英雄儿女'}
{'tip': '', 'mystery': '谜面：尸检 （外国电影）', 'answer': '谜底：死亡的体验'}
{'tip': '', 'mystery': '谜面：尸魔初戏唐三藏 （中国电影）', 'answer': '谜底：化身姑娘'}
{'tip': '', 'mystery': '谜面：三家巷 （中国电影）', 'answer': '谜底：小街'}
{'tip': '', 'mystery': '谜面：上穷碧落下黄泉，两处茫茫皆不见 （五字电影）', 'answer': '谜底：希望在人间'}
{'tip': '', 'mystery': '谜面：上阵亲兄弟 （电影名二）', 'answer': '谜底：歌俩好，战友'}
{'tip': '', 'mystery': '谜面：十八女儿九岁郎 （中国电影）', 'answer': '谜底：奇异的婚配'}
{'tip': '', 'mystery': '谜面：十八相送 （五字电影）', 'answer': '谜底：爱情的旅程'}
{'tip': '', 'mystery': '谜面：十分全面 （五字电影）', 'answer': '谜底：都会的一角'}
{'tip': '', 'mystery': '谜面：十分熟悉 （五字电影）', 'answer': '谜底：都会的一角'}
{'tip': '', 'mystery': '谜面：十年生死两茫茫 （中国电影）', 'answer': '谜底：悠悠故人情'}
{'tip': '', 'mystery': '谜面：适口 （三字电影）', 'answer': '谜底：出嫁女'}
{'tip': '', 'mystery': '谜面：疏竹妙影 （中国电影）', 'answer': '谜底：两个少女'}
{'tip': '', 'mystery': '谜面：霜刃未曾试 （四字电影）', 'answer': '谜底：长空利剑'}
{'tip': '', 'mystery': '谜面：水经注 （四字电影）', 'answer': '谜底：点点滴滴'}
{'tip': '', 'mystery': '谜面：五谷丰登千家乐；；六畜兴旺万户欢 （电影名二）', 'answer': '谜底：生财有道，喜盈门'}
{'tip': '', 'mystery': '谜面：午后激战 （科教片名）', 'answer': '谜底：大角羊'}
{'tip': '', 'mystery': '谜面：武松遇难 （三字电影）', 'answer': '谜底：苦行者'}
{'tip': '', 'mystery': '谜面：戊辰除夕守岁 （电影名二）', 'answer': '谜底：等，蛇'}
{'tip': '', 'mystery': '谜面：夕阳落下吏人归 （三字电影）', 'answer': '谜底：黑天使'}
{'tip': '', 'mystery': '谜面：王母娘娘蟠桃会 （中国电影）', 'answer': '谜底：天堂盛宴'}
{'tip': '', 'mystery': '谜面：望清辉 （五字电影）', 'answer': '谜底：十五的月亮'}
{'tip': '', 'mystery': '谜面：了却君王天下事 （电视剧名）', 'answer': '谜底：毕业之后'}
{'tip': '', 'mystery': '谜面：双双致书媒婆儿 （电视剧名）', 'answer': '谜底：李信与红娘子'}
{'tip': '', 'mystery': '谜面：台上幽灵苏醒 （电视剧名）', 'answer': '谜底：还魂案'}
{'tip': '', 'mystery': '谜面：八千里路云和月（电视剧名） （电视剧名）', 'answer': '谜底：长夜行'}
{'tip': '', 'mystery': '谜面：爹是爹来娘是娘 （电视剧名）', 'answer': '谜底：爸妈不容易 (也有名片翻译成父母不容易)'}
{'tip': '', 'mystery': '谜面：斯巴达克传 （中国电影）', 'answer': '谜底：从奴隶到将军'}
{'tip': '', 'mystery': '谜面：斯是陋室 （二字电影）', 'answer': '谜底：家丑'}
{'tip': '', 'mystery': '谜面：苏绣 （中国电影）', 'answer': '谜底：锦上添花'}
{'tip': '', 'mystery': '谜面：天南星 （电影名二）', 'answer': '谜底：日出，人生'}
{'tip': '', 'mystery': '谜面：通宵颂北斗 （四字电影）', 'answer': '谜底：一夜歌星'}
{'tip': '', 'mystery': '谜面：王莽篡位 （中国电影二）', 'answer': '谜底：新寡，人生'}
{'tip': '', 'mystery': '谜面：无疑于丈夫 （四字电影）', 'answer': '谜底：妻子的信'}
{'tip': '', 'mystery': '谜面：吴用赚金铃吊挂 （电影名）', 'answer': '谜底：智取华山'}
{'tip': '', 'mystery': '谜面：伍 （中国电影）', 'answer': '谜底：两对半'}
{'tip': '', 'mystery': '谜面：夏衍 （五字电影）', 'answer': '谜底：大禹的传人'}
{'tip': '', 'mystery': '谜面：万顷江田一鹭飞 （电影名二）', 'answer': '谜底：在这块土地上，水鸟行动'}
{'tip': '', 'mystery': '谜面：万人坑 （五字电影）', 'answer': '谜底：死亡集中营'}
{'tip': '', 'mystery': '谜面：万紫千红总是春 （中国电影）', 'answer': '谜底：繁花时节'}
{'tip': '', 'mystery': '谜面：九百两 （电视剧名）', 'answer': '谜底：一千八'}
{'tip': '', 'mystery': '谜面：巨轮天亮出港 （电视剧名）', 'answer': '谜底：上海的早晨'}
{'tip': '', 'mystery': '谜面：可爱的中华 （电视片）', 'answer': '谜底：共国和之恋'}
{'tip': '', 'mystery': '谜面：龙头铡虎头铡 （电视剧名）', 'answer': '谜底：反腐风云'}
{'tip': '', 'mystery': '谜面：略胜显贵一筹 （电视剧名）', 'answer': '谜底：小镇名流'}
{'tip': '', 'mystery': '谜面：马娘娘传奇 （电视剧名）', 'answer': '谜底：大脚夫人'}
{'tip': '', 'mystery': '谜面：蓦然回首 （电视剧二）', 'answer': '谜底：女友，灯火阑珊处'}
{'tip': '', 'mystery': '谜面：年历 （电视剧名）', 'answer': '谜底：十二月记事'}
{'tip': '', 'mystery': '谜面：取得冠军上奖台 （电视剧名）', 'answer': '谜底：最后一站'}
{'tip': '', 'mystery': '谜面：人人选择突破口 （电视剧名）', 'answer': '谜底：贝贝'}
{'tip': '', 'mystery': '谜面：任由乱叶入庭前 （电视剧名）', 'answer': '谜底：古庙'}
{'tip': '', 'mystery': '谜面：入夜满江红 （电视剧名）', 'answer': '谜底：黑船'}
{'tip': '', 'mystery': '谜面：三次出差 （电视剧名）', 'answer': '谜底：一错再错'}
{'tip': '', 'mystery': '谜面：苦干九五头一月 （电视剧名）', 'answer': '谜底：辛亥首义'}
{'tip': '', 'mystery': '谜面：老天有眼 （电视剧名）', 'answer': '谜底：空缺'}
{'tip': '', 'mystery': '谜面：掉首再回眸 （电视剧名）', 'answer': '谜底：还珠格格'}
{'tip': '', 'mystery': '谜面：飞跃祖国领空 （五字电视剧名）', 'answer': '谜底：夏天的经历'}
{'tip': '', 'mystery': '谜面：怪球 （外国电视剧）', 'answer': '谜底：奇异的世界'}
{'tip': '', 'mystery': '谜面：谈情说爱 （二字电影）', 'answer': '谜底：云恋'}
{'tip': '', 'mystery': '谜面：缇萦叩阍 （中国电影）', 'answer': '谜底：父女情'}
{'tip': '', 'mystery': '谜面：万国衣冠拜冕旒 （中国电影）', 'answer': '谜底：阿佩皇后'}
{'tip': '', 'mystery': '谜面：万箭千刀一夜杀 （电影名二）', 'answer': '谜底：屠城血证黎明前的战斗'}
{'tip': '', 'mystery': '谜面：万紫千红歌一曲 （中国电影）', 'answer': '谜底：群芳谱'}
{'tip': '', 'mystery': '谜面：王佐诈降传佳话 （四字电影）', 'answer': '谜底：独臂英杰'}
{'tip': '', 'mystery': '谜面：违抗君命 （五字电影）', 'answer': '谜底：大漠紫禁令'}
{'tip': '', 'mystery': '谜面：夏立言 （外国电影）', 'answer': '谜底：以国家的名义起诉'}
{'tip': '', 'mystery': '谜面：仙缘已尽 （外国电影）', 'answer': '谜底：人鬼情未了'}
{'tip': '', 'mystery': '谜面：相送情无限 （中国电影）', 'answer': '谜底：爱在离别时'}
{'tip': '', 'mystery': '谜面：向导 （中国电影）', 'answer': '谜底：不明地带'}
{'tip': '', 'mystery': '谜面：大闸 （电视剧名）', 'answer': '谜底：天下第一关'}
{'tip': '', 'mystery': '谜面：二姑娘又到 （电视剧名）', 'answer': '谜底：女奴'}
{'tip': '', 'mystery': '谜面：发怒也得分是非 （电视剧名）', 'answer': '谜底：地火'}
{'tip': '', 'mystery': '谜面：反主为客 （电视片）', 'answer': '谜底：从东方到西方'}
{'tip': '', 'mystery': '谜面：飞流直下三千尺 （电视剧名）', 'answer': '谜底：大地冲击波'}
{'tip': '', 'mystery': '谜面：驾崩 （电视剧名）', 'answer': '谜底：千古一帝'}
{'tip': '', 'mystery': '谜面：党政军民齐抗洪 （电视剧名）', 'answer': '谜底：四保临江'}
{'tip': '', 'mystery': '谜面：三日入厨下，洗手作羹汤 （电影名二）', 'answer': '谜底：团圆之后，内当家'}
{'tip': '', 'mystery': '谜面：三十年河东，三十年河西 （中国电影）', 'answer': '谜底：轮回'}
{'tip': '', 'mystery': '谜面：三星在户 （中国电影）', 'answer': '谜底：透明的人间'}
{'tip': '', 'mystery': '谜面：人人爱戴 （中国电影）', 'answer': '谜底：多情的帽子'}
{'tip': '', 'mystery': '谜面：人生三部曲 （中国电影）', 'answer': '谜底：小大老传'}
{'tip': '', 'mystery': '谜面：三更难入梦 （电影名二）', 'answer': '谜底：子夜，苏醒'}
{'tip': '', 'mystery': '谜面：少帝 （四字电影）', 'answer': '谜底：青春万岁'}
{'tip': '', 'mystery': '谜面：诗的海洋 （五字电影）', 'answer': '谜底：何处不风流'}
{'tip': '', 'mystery': '谜面：十分春色属皇后 （中国电影）', 'answer': '谜底：寡妇村'}
{'tip': '', 'mystery': '谜面：十分情意涌毫端·掉尾格 （三字电影）', 'answer': '谜底：寸草心'}
{'tip': '', 'mystery': '谜面：十寺日辰 （中国电影）', 'answer': '谜底：望子成龙'}
{'tip': '', 'mystery': '谜面：十一个分子，游离一个 （中国电影）', 'answer': '谜底：毛孩'}
{'tip': '', 'mystery': '谜面：是祸躲不过·回文格 （二字电影）', 'answer': '谜底：避难'}
{'tip': '', 'mystery': '谜面：寿堂 （五字电影）', 'answer': '谜底：妈妈的生日'}
{'tip': '', 'mystery': '谜面：双山倒影，楚楚动人 （中国电影）', 'answer': '谜底：W的悲剧'}
{'tip': '', 'mystery': '谜面：水火无情 （电视剧名）', 'answer': '谜底：双星恨'}
{'tip': '', 'mystery': '谜面：似是而非 （三字电影）', 'answer': '谜底：象不象'}
{'tip': '', 'mystery': '谜面：岁赋其二 （电影名）', 'answer': '谜底：重要的一课'}
